               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11903,             0.15881,             0.04394,            0.010022,             0.16055,           0.0085137,           0.0020414,             0.11445,             0.11627,            0.040059,            0.070588,            0.003268,            0.003268
                   1,             0.10929,             0.13509,             0.03936,            0.023477,             0.22539,            0.029008,           0.0074908,              0.1042,             0.12274,            0.033915,            0.040582,           0.0065948,           0.0065948
                   2,             0.10702,             0.12686,            0.035689,              0.7883,            0.072488,            0.043767,            0.011213,              0.1115,              0.1598,            0.032834,            0.010569,            0.009915,            0.009915
                   3,              0.1086,             0.12492,             0.03467,            0.051704,             0.19172,            0.041807,            0.011516,            0.096537,              0.2624,            0.033536,           0.0099703,           0.0099703,           0.0099703
                   4,            0.091858,             0.15508,            0.034441,             0.57604,             0.12354,            0.063576,            0.016505,            0.086505,             0.12313,            0.031955,           0.0099703,           0.0099703,           0.0099703
                   5,            0.083384,             0.16555,            0.033148,             0.56511,             0.22788,            0.073182,            0.021517,            0.083986,             0.22624,            0.031503,           0.0099604,           0.0099604,           0.0099604
                   6,            0.083233,             0.16081,            0.033482,             0.17139,             0.31728,             0.11857,            0.036985,            0.080023,             0.11912,            0.030872,           0.0099505,           0.0099505,           0.0099505
                   7,            0.079711,             0.15113,            0.033542,             0.34283,             0.28773,             0.10072,             0.03228,            0.073553,             0.15575,             0.03185,           0.0099406,           0.0099406,           0.0099406
                   8,            0.078568,              0.1597,            0.032872,             0.17907,              0.2544,             0.13755,            0.044056,            0.076538,             0.11322,            0.030558,           0.0099307,           0.0099307,           0.0099307
                   9,            0.073609,                0.16,            0.032162,              0.1652,             0.33012,             0.12376,            0.043076,            0.080114,             0.11181,            0.029998,           0.0099208,           0.0099208,           0.0099208
                  10,            0.075421,             0.15349,            0.031787,             0.21469,             0.37139,             0.21322,            0.071018,            0.068855,             0.12865,            0.029439,           0.0099109,           0.0099109,           0.0099109
                  11,            0.069852,             0.14975,            0.032192,            0.092972,              0.2981,             0.11657,            0.035877,            0.075075,             0.11472,            0.029186,            0.009901,            0.009901,            0.009901
                  12,            0.072319,             0.15612,            0.031995,             0.65898,             0.18575,             0.19667,            0.073313,            0.070354,             0.11651,            0.029034,           0.0098911,           0.0098911,           0.0098911
                  13,            0.062694,              0.1666,            0.031072,             0.65764,             0.21806,             0.20481,            0.076482,            0.064251,             0.13967,            0.029379,           0.0098812,           0.0098812,           0.0098812
                  14,            0.062309,             0.15979,            0.030678,             0.16107,             0.27952,             0.12722,            0.040542,            0.077631,             0.10908,            0.029551,           0.0098713,           0.0098713,           0.0098713
                  15,            0.068761,               0.151,            0.031665,             0.28889,              0.3695,             0.24657,            0.093123,            0.066482,             0.11867,            0.028367,           0.0098614,           0.0098614,           0.0098614
                  16,            0.067065,             0.13901,            0.029766,             0.22867,             0.35554,             0.19615,             0.06866,             0.06491,             0.12049,            0.028486,           0.0098515,           0.0098515,           0.0098515
                  17,            0.062828,             0.15656,             0.03007,             0.20949,             0.35388,             0.20006,            0.073202,            0.065944,             0.13833,            0.028701,           0.0098416,           0.0098416,           0.0098416
                  18,            0.065099,             0.15317,            0.029836,             0.28619,             0.36949,             0.23129,            0.080233,            0.062788,             0.12457,            0.028114,           0.0098317,           0.0098317,           0.0098317
                  19,            0.061853,              0.1507,            0.028497,             0.25831,             0.35565,             0.22107,            0.073227,            0.064235,              0.1276,            0.027171,           0.0098218,           0.0098218,           0.0098218
                  20,            0.064922,             0.14222,            0.029577,             0.28072,             0.37556,             0.23274,            0.090112,            0.064197,              0.1249,            0.027654,           0.0098119,           0.0098119,           0.0098119
                  21,            0.060516,              0.1516,            0.028316,             0.20545,             0.31812,              0.1947,            0.071988,            0.068316,             0.12369,            0.029683,            0.009802,            0.009802,            0.009802
                  22,            0.060387,              0.1499,            0.029557,             0.30922,             0.39675,             0.25318,            0.089573,             0.06187,              0.1245,            0.027697,           0.0097921,           0.0097921,           0.0097921
                  23,            0.056837,             0.14743,            0.028191,             0.30286,             0.41285,             0.25929,            0.089837,            0.058891,             0.12609,            0.027261,           0.0097822,           0.0097822,           0.0097822
                  24,            0.056609,             0.15068,            0.028378,             0.31601,             0.42147,             0.27476,            0.098089,             0.06033,             0.12977,            0.027381,           0.0097723,           0.0097723,           0.0097723
                  25,            0.057138,              0.1472,            0.028046,             0.26071,             0.36478,             0.21103,            0.068217,            0.065001,              0.1209,            0.029134,           0.0097624,           0.0097624,           0.0097624
                  26,            0.058022,             0.14551,            0.027326,             0.30961,             0.38731,             0.26367,            0.087895,            0.061505,             0.12393,            0.028985,           0.0097525,           0.0097525,           0.0097525
                  27,            0.056651,             0.13891,            0.025985,             0.27969,             0.48915,              0.2827,            0.097816,            0.059651,              0.1421,            0.026469,           0.0097426,           0.0097426,           0.0097426
                  28,            0.055638,             0.14329,            0.027258,             0.34324,             0.35237,             0.25705,            0.087103,            0.063677,             0.12443,            0.028316,           0.0097327,           0.0097327,           0.0097327
                  29,            0.054307,              0.1369,            0.026286,             0.34922,             0.39589,             0.27486,             0.10219,            0.060489,             0.13255,            0.027528,           0.0097228,           0.0097228,           0.0097228
                  30,            0.056266,              0.1424,            0.025927,             0.37531,             0.35446,             0.27717,            0.091653,            0.067885,              0.1277,            0.029044,           0.0097129,           0.0097129,           0.0097129
                  31,            0.058829,              0.1339,             0.02518,             0.24429,             0.37391,             0.21426,            0.069994,            0.063493,             0.13036,            0.027069,            0.009703,            0.009703,            0.009703
                  32,            0.053958,              0.1427,            0.025543,             0.34063,             0.38436,             0.28148,            0.097167,            0.062201,             0.12833,             0.02963,           0.0096931,           0.0096931,           0.0096931
                  33,            0.056304,              0.1373,            0.024301,             0.34373,             0.35815,             0.26706,            0.088613,            0.062295,             0.12963,            0.027429,           0.0096832,           0.0096832,           0.0096832
                  34,            0.057004,             0.13338,            0.024815,             0.31982,             0.34177,             0.24164,            0.078936,            0.065464,             0.13051,            0.026434,           0.0096733,           0.0096733,           0.0096733
                  35,            0.058939,             0.13673,             0.02499,             0.34279,             0.33435,             0.25492,            0.087691,            0.062752,             0.13657,            0.027457,           0.0096634,           0.0096634,           0.0096634
                  36,            0.055057,             0.13393,            0.023062,             0.32274,             0.36581,             0.27143,            0.093271,             0.06462,              0.1343,            0.026583,           0.0096535,           0.0096535,           0.0096535
                  37,            0.053046,             0.13663,            0.022712,             0.37782,             0.37935,             0.30462,             0.10982,            0.059863,             0.13411,            0.027488,           0.0096436,           0.0096436,           0.0096436
                  38,            0.052633,             0.13355,            0.023173,             0.34129,             0.37834,             0.26903,            0.093339,            0.062151,              0.1338,            0.026395,           0.0096337,           0.0096337,           0.0096337
                  39,            0.054041,             0.13352,            0.022366,             0.32404,             0.28382,             0.22815,            0.080386,            0.063786,             0.14375,            0.031993,           0.0096238,           0.0096238,           0.0096238
                  40,            0.052906,             0.12663,            0.021108,             0.39022,             0.39668,             0.30377,             0.10973,             0.06142,             0.13011,            0.027765,           0.0096139,           0.0096139,           0.0096139
                  41,            0.053322,             0.12364,            0.021285,             0.33887,             0.27958,             0.21137,             0.07076,             0.06527,              0.1601,            0.029953,            0.009604,            0.009604,            0.009604
                  42,            0.054244,             0.12303,            0.020679,             0.36912,             0.37185,             0.29819,             0.09665,            0.061098,             0.13476,             0.03056,           0.0095941,           0.0095941,           0.0095941
                  43,            0.053942,             0.12442,            0.019326,             0.27947,             0.29756,             0.19103,             0.06311,            0.064858,             0.14617,            0.029738,           0.0095842,           0.0095842,           0.0095842
                  44,            0.055029,             0.11759,             0.02049,             0.35397,             0.34751,             0.26126,            0.093622,            0.064774,             0.13742,            0.028915,           0.0095743,           0.0095743,           0.0095743
                  45,            0.049772,             0.12193,            0.019379,             0.37262,             0.36476,             0.28592,             0.10008,            0.063297,             0.13896,             0.02795,           0.0095644,           0.0095644,           0.0095644
                  46,            0.049318,             0.13006,            0.019289,              0.3831,              0.4315,             0.32258,             0.10954,            0.059258,             0.14331,            0.028001,           0.0095545,           0.0095545,           0.0095545
                  47,            0.050659,               0.119,            0.018806,             0.35735,             0.36457,             0.27328,            0.091402,            0.062641,             0.14305,            0.028155,           0.0095446,           0.0095446,           0.0095446
                  48,            0.054001,             0.11344,            0.018458,             0.38221,             0.34802,             0.29584,            0.096639,            0.066532,             0.12834,            0.028083,           0.0095347,           0.0095347,           0.0095347
                  49,            0.052999,             0.11948,            0.017779,              0.3286,             0.33933,             0.22963,            0.078883,            0.062526,             0.14564,            0.029258,           0.0095248,           0.0095248,           0.0095248
                  50,            0.050409,             0.12582,            0.017162,             0.39017,             0.33783,             0.28098,            0.092885,            0.063556,             0.14306,            0.030731,           0.0095149,           0.0095149,           0.0095149
                  51,            0.048476,             0.12195,            0.017685,             0.38128,             0.41077,             0.31741,             0.10833,            0.062447,             0.13721,            0.031395,            0.009505,            0.009505,            0.009505
                  52,            0.050406,              0.1213,            0.016534,             0.25547,             0.37337,             0.20164,            0.066034,            0.063175,             0.13792,            0.030269,           0.0094951,           0.0094951,           0.0094951
                  53,             0.04951,              0.1162,            0.016789,             0.36392,             0.39026,             0.29634,             0.10247,            0.063175,             0.14486,            0.032309,           0.0094852,           0.0094852,           0.0094852
                  54,            0.048601,             0.12186,            0.015108,             0.38102,             0.38444,             0.30384,            0.098067,            0.061452,             0.14134,            0.032413,           0.0094753,           0.0094753,           0.0094753
                  55,             0.04784,             0.12407,            0.015262,             0.39622,             0.41769,             0.32354,             0.10978,            0.061715,             0.13659,            0.030007,           0.0094654,           0.0094654,           0.0094654
                  56,             0.04807,             0.12355,            0.014514,             0.34944,             0.41032,             0.30453,             0.10412,            0.060576,             0.13056,            0.031388,           0.0094555,           0.0094555,           0.0094555
                  57,            0.049952,             0.11516,             0.01505,             0.33258,             0.36811,             0.26256,            0.084874,            0.063376,             0.14363,            0.027257,           0.0094456,           0.0094456,           0.0094456
                  58,            0.051905,             0.11159,            0.014731,             0.37302,             0.35178,             0.28421,             0.10437,            0.064016,             0.13763,            0.029961,           0.0094357,           0.0094357,           0.0094357
                  59,            0.050815,             0.11883,            0.013465,             0.34658,             0.36395,             0.27131,            0.096932,            0.062143,             0.14886,            0.029074,           0.0094258,           0.0094258,           0.0094258
                  60,            0.049641,             0.10501,            0.014588,             0.40955,             0.30485,             0.27266,             0.10623,            0.066949,              0.1558,            0.030743,           0.0094159,           0.0094159,           0.0094159
                  61,            0.047553,             0.11816,            0.013699,             0.40586,              0.4301,              0.3305,             0.11672,            0.059541,             0.14033,            0.029695,            0.009406,            0.009406,            0.009406
                  62,             0.04565,             0.10766,            0.014725,             0.36507,             0.28789,             0.25255,            0.083796,            0.067398,              0.1614,            0.030922,           0.0093961,           0.0093961,           0.0093961
                  63,            0.050172,             0.10959,            0.014575,             0.30175,             0.37483,             0.22417,             0.07372,            0.062505,             0.14838,            0.030617,           0.0093862,           0.0093862,           0.0093862
                  64,            0.048052,             0.11201,            0.012984,             0.38273,             0.39923,             0.30677,             0.10465,            0.061236,             0.13915,            0.031764,           0.0093763,           0.0093763,           0.0093763
                  65,            0.050069,              0.1127,            0.012834,             0.33683,             0.36358,             0.25568,             0.08994,            0.061512,             0.15003,            0.031337,           0.0093664,           0.0093664,           0.0093664
                  66,            0.046693,             0.11071,            0.012866,             0.38762,             0.38467,             0.30156,             0.10575,            0.063935,             0.15945,            0.031868,           0.0093565,           0.0093565,           0.0093565
                  67,             0.04718,             0.11047,             0.01202,             0.31759,             0.36045,             0.22641,            0.072931,            0.063638,             0.14525,            0.029192,           0.0093466,           0.0093466,           0.0093466
                  68,            0.049377,             0.10945,            0.011447,             0.32983,              0.3615,             0.27023,            0.095272,            0.065538,             0.14931,            0.031836,           0.0093367,           0.0093367,           0.0093367
                  69,            0.049053,             0.11629,            0.012141,             0.36361,             0.39501,             0.28183,              0.0967,             0.06104,             0.14493,            0.031437,           0.0093268,           0.0093268,           0.0093268
                  70,            0.046997,              0.1049,            0.011953,             0.38785,             0.33666,             0.27687,            0.098818,            0.063687,             0.15299,            0.033026,           0.0093169,           0.0093169,           0.0093169
                  71,            0.046634,             0.10605,            0.011212,             0.35167,             0.39268,             0.27516,            0.091632,            0.062896,              0.1519,            0.031238,            0.009307,            0.009307,            0.009307
                  72,            0.043782,             0.11418,            0.010617,             0.38933,             0.35042,             0.29129,            0.095236,            0.063932,             0.14806,            0.036353,           0.0092971,           0.0092971,           0.0092971
                  73,            0.043785,             0.11083,            0.010463,             0.36321,              0.4016,             0.28438,            0.097966,            0.059476,              0.1442,            0.033821,           0.0092872,           0.0092872,           0.0092872
                  74,            0.047711,             0.10232,            0.011226,             0.36984,             0.35467,             0.27666,            0.096481,            0.064789,             0.14291,            0.033417,           0.0092773,           0.0092773,           0.0092773
                  75,            0.046763,              0.1061,            0.010069,             0.33259,             0.36912,             0.26448,            0.088333,            0.062408,             0.15036,            0.035958,           0.0092674,           0.0092674,           0.0092674
                  76,            0.046287,             0.10402,           0.0099731,             0.36626,             0.36689,             0.27587,            0.094243,             0.06647,             0.14086,            0.035112,           0.0092575,           0.0092575,           0.0092575
                  77,            0.047696,            0.098878,            0.010066,             0.32694,             0.37552,             0.26124,            0.093428,             0.06248,              0.1472,            0.034795,           0.0092476,           0.0092476,           0.0092476
                  78,            0.048686,             0.10619,            0.010492,             0.38364,             0.30925,             0.25899,            0.087918,            0.065918,             0.15546,            0.037435,           0.0092377,           0.0092377,           0.0092377
                  79,            0.046224,             0.11073,            0.009847,             0.34493,             0.31031,             0.23885,            0.080827,            0.064783,              0.1563,            0.033898,           0.0092278,           0.0092278,           0.0092278
                  80,            0.046528,            0.098993,            0.010336,             0.38638,             0.34115,             0.27561,            0.091045,            0.066193,             0.14913,               0.032,           0.0092179,           0.0092179,           0.0092179
                  81,            0.043984,            0.098197,            0.010023,             0.37317,             0.35285,             0.25116,            0.084152,            0.064167,             0.16244,            0.030993,            0.009208,            0.009208,            0.009208
                  82,            0.045381,             0.10391,           0.0091384,              0.3994,             0.34175,             0.28462,            0.094229,            0.065958,             0.15746,            0.034702,           0.0091981,           0.0091981,           0.0091981
                  83,            0.042476,              0.1007,            0.010253,             0.36471,             0.35206,             0.26438,            0.093953,            0.062972,             0.17317,            0.035966,           0.0091882,           0.0091882,           0.0091882
                  84,            0.043911,             0.10486,           0.0084627,             0.37423,             0.38446,              0.2951,            0.099609,            0.063094,             0.15209,            0.036981,           0.0091783,           0.0091783,           0.0091783
                  85,            0.044061,            0.096268,           0.0087726,             0.34276,             0.36804,             0.25495,            0.084975,            0.064728,             0.15996,            0.034846,           0.0091684,           0.0091684,           0.0091684
                  86,            0.044511,            0.099433,           0.0077449,             0.37814,             0.35651,             0.26849,            0.088099,            0.065662,             0.15171,            0.035766,           0.0091585,           0.0091585,           0.0091585
                  87,            0.045911,             0.09719,           0.0073358,             0.32603,             0.36344,             0.23389,             0.07955,            0.064051,             0.16345,            0.037381,           0.0091486,           0.0091486,           0.0091486
                  88,            0.043759,             0.10163,           0.0084351,             0.36227,             0.37724,             0.28044,             0.09832,             0.06264,             0.15453,            0.034242,           0.0091387,           0.0091387,           0.0091387
                  89,            0.044933,            0.099261,           0.0087279,             0.33704,             0.29059,             0.24466,            0.081597,            0.068099,             0.17246,            0.036519,           0.0091288,           0.0091288,           0.0091288
                  90,              0.0469,            0.096101,           0.0084645,             0.39875,             0.36255,             0.28159,             0.10094,             0.06247,             0.15429,            0.032794,           0.0091189,           0.0091189,           0.0091189
                  91,            0.044483,            0.098411,           0.0084858,             0.36347,             0.35656,             0.27569,            0.095355,            0.065652,             0.16875,            0.036098,            0.009109,            0.009109,            0.009109
                  92,            0.045111,            0.093654,           0.0077282,             0.40536,             0.30869,              0.2508,            0.090828,            0.063414,             0.16557,            0.036448,           0.0090991,           0.0090991,           0.0090991
                  93,            0.043286,            0.099882,           0.0082257,             0.37628,             0.34299,             0.27406,            0.093002,            0.064421,             0.16974,            0.036131,           0.0090892,           0.0090892,           0.0090892
                  94,            0.042468,            0.098578,           0.0079483,              0.3257,              0.3549,             0.23779,            0.078825,            0.064145,             0.16473,            0.037636,           0.0090793,           0.0090793,           0.0090793
                  95,            0.044511,            0.097439,           0.0069619,             0.34452,             0.34975,             0.25913,            0.089724,            0.064739,             0.16206,            0.038602,           0.0090694,           0.0090694,           0.0090694
                  96,            0.045595,            0.094782,           0.0070976,              0.3479,             0.36932,             0.27873,            0.096285,            0.062056,             0.16598,            0.035819,           0.0090595,           0.0090595,           0.0090595
                  97,            0.044724,            0.096855,           0.0074493,             0.33603,             0.30471,             0.23649,            0.086672,            0.066925,             0.16599,            0.037937,           0.0090496,           0.0090496,           0.0090496
                  98,            0.040406,              0.1029,           0.0074864,             0.33971,             0.33514,             0.25188,            0.085297,             0.06561,             0.17443,            0.038306,           0.0090397,           0.0090397,           0.0090397
                  99,            0.040614,             0.10044,           0.0071681,             0.31342,              0.3517,             0.24092,            0.080496,            0.069052,             0.15994,            0.035434,           0.0090298,           0.0090298,           0.0090298
                 100,            0.044287,            0.091474,           0.0064385,             0.32631,             0.33991,             0.23354,            0.076877,            0.063636,             0.16777,            0.037774,           0.0090199,           0.0090199,           0.0090199
                 101,            0.042806,            0.089619,           0.0065076,             0.38945,             0.32077,             0.25828,            0.086877,            0.063771,             0.15673,             0.03899,             0.00901,             0.00901,             0.00901
                 102,            0.043275,            0.097096,           0.0067865,             0.34361,             0.33416,             0.23992,            0.080464,            0.063715,             0.16001,            0.036401,           0.0090001,           0.0090001,           0.0090001
                 103,            0.041601,            0.091997,           0.0067375,             0.38557,             0.32386,             0.26412,              0.0927,            0.064739,             0.17095,            0.036925,           0.0089902,           0.0089902,           0.0089902
                 104,            0.041114,            0.096698,           0.0071124,             0.37835,             0.35651,              0.2735,            0.092386,            0.063368,             0.16009,             0.03509,           0.0089803,           0.0089803,           0.0089803
                 105,            0.041632,            0.090149,           0.0065973,             0.31499,              0.3612,             0.24278,            0.082818,            0.064672,             0.17109,            0.038332,           0.0089704,           0.0089704,           0.0089704
                 106,            0.043804,            0.092591,           0.0065342,             0.33701,             0.32129,             0.24845,            0.079868,            0.068189,             0.16174,            0.039736,           0.0089605,           0.0089605,           0.0089605
                 107,            0.043473,            0.096418,           0.0062754,             0.31718,             0.34278,             0.22553,             0.07274,            0.063888,             0.17038,            0.038447,           0.0089506,           0.0089506,           0.0089506
                 108,            0.042178,            0.092651,           0.0069727,             0.30086,             0.25946,             0.20266,            0.062819,            0.072271,             0.17304,            0.041746,           0.0089407,           0.0089407,           0.0089407
                 109,            0.040034,            0.095191,           0.0067439,             0.34987,             0.34998,             0.26012,            0.086118,            0.064909,             0.17779,            0.034419,           0.0089308,           0.0089308,           0.0089308
                 110,            0.041347,            0.096651,           0.0063226,             0.35795,             0.28084,              0.2308,            0.075988,            0.068743,             0.15054,            0.034561,           0.0089209,           0.0089209,           0.0089209
                 111,             0.04278,            0.085045,           0.0062655,             0.34108,             0.35665,             0.23854,            0.080613,            0.064268,             0.17299,            0.036283,            0.008911,            0.008911,            0.008911
                 112,            0.041338,            0.094092,           0.0059548,             0.33919,             0.31894,             0.24359,            0.085051,            0.066958,             0.16357,            0.035234,           0.0089011,           0.0089011,           0.0089011
                 113,            0.043044,            0.091333,           0.0054301,             0.34181,             0.35007,             0.23204,            0.079955,            0.064944,             0.17825,            0.035822,           0.0088912,           0.0088912,           0.0088912
                 114,            0.040754,            0.097216,           0.0058952,             0.37037,             0.33094,             0.24951,            0.084492,             0.06575,             0.16269,            0.036333,           0.0088813,           0.0088813,           0.0088813
                 115,            0.040107,            0.085793,           0.0052769,             0.36531,             0.35575,             0.25123,            0.082209,            0.065978,             0.17207,            0.036701,           0.0088714,           0.0088714,           0.0088714
                 116,            0.040353,            0.094852,           0.0052911,               0.432,             0.31087,             0.28542,            0.095044,            0.065244,             0.16076,            0.037706,           0.0088615,           0.0088615,           0.0088615
                 117,            0.039655,            0.093562,              0.0054,             0.40188,             0.34366,             0.28228,            0.095247,            0.064787,             0.16968,            0.039095,           0.0088516,           0.0088516,           0.0088516
                 118,            0.040189,            0.088764,           0.0051986,             0.38591,             0.32978,             0.27267,            0.089082,            0.066982,             0.17285,            0.036295,           0.0088417,           0.0088417,           0.0088417
                 119,             0.04049,            0.092593,           0.0054783,             0.32903,             0.32177,              0.2303,            0.077778,            0.066394,             0.17763,            0.037219,           0.0088318,           0.0088318,           0.0088318
                 120,             0.04273,            0.094767,            0.005618,             0.34181,               0.339,             0.24453,            0.082229,            0.063674,             0.17142,            0.038423,           0.0088219,           0.0088219,           0.0088219
                 121,            0.040094,            0.095289,           0.0056052,             0.35414,               0.302,             0.24069,             0.07263,            0.069736,             0.18246,            0.039776,            0.008812,            0.008812,            0.008812
                 122,            0.038621,            0.087266,             0.00534,             0.39186,             0.34123,             0.26195,            0.088385,            0.063174,              0.1709,            0.037384,           0.0088021,           0.0088021,           0.0088021
                 123,             0.03924,             0.09053,           0.0051347,             0.41392,             0.33501,             0.26976,            0.092261,            0.066041,             0.16752,            0.036085,           0.0087922,           0.0087922,           0.0087922
                 124,            0.040365,            0.086406,           0.0054999,             0.39967,             0.36056,              0.2754,            0.088869,            0.063786,             0.16661,            0.038041,           0.0087823,           0.0087823,           0.0087823
                 125,            0.038905,            0.092913,           0.0053492,             0.35043,             0.35538,             0.27452,            0.093656,            0.065453,             0.17222,            0.036432,           0.0087724,           0.0087724,           0.0087724
                 126,            0.039971,            0.094693,           0.0048684,             0.31917,             0.35067,             0.25876,            0.087395,            0.064387,             0.17578,            0.039499,           0.0087625,           0.0087625,           0.0087625
                 127,            0.038982,            0.086415,            0.004907,             0.32738,              0.3649,              0.2596,            0.086193,            0.066916,             0.16867,            0.038047,           0.0087526,           0.0087526,           0.0087526
                 128,            0.040036,            0.088618,           0.0049671,             0.32463,             0.32578,             0.24409,            0.082354,            0.065635,             0.18511,            0.039403,           0.0087427,           0.0087427,           0.0087427
                 129,            0.039102,            0.087756,           0.0050143,             0.39724,             0.32924,             0.27704,            0.091742,            0.066404,             0.17294,            0.038565,           0.0087328,           0.0087328,           0.0087328
                 130,            0.038641,            0.088412,           0.0051998,             0.37845,             0.33111,              0.2691,            0.087512,            0.064607,             0.17736,            0.037911,           0.0087229,           0.0087229,           0.0087229
                 131,            0.039436,            0.085528,           0.0047759,             0.34511,             0.35321,             0.27441,            0.088908,            0.064271,             0.16617,            0.039729,            0.008713,            0.008713,            0.008713
                 132,            0.038915,            0.088615,           0.0045079,             0.33144,             0.38116,             0.26909,            0.089191,            0.061898,              0.1673,            0.038693,           0.0087031,           0.0087031,           0.0087031
                 133,            0.036232,            0.086177,           0.0045901,             0.34012,             0.33923,             0.25623,            0.084087,            0.066348,             0.17273,            0.039258,           0.0086932,           0.0086932,           0.0086932
                 134,            0.037338,            0.085936,           0.0041663,             0.36649,             0.33194,             0.25591,            0.085062,            0.064646,             0.17619,            0.039459,           0.0086833,           0.0086833,           0.0086833
                 135,            0.040037,            0.087265,           0.0038974,             0.39597,             0.29268,             0.24698,            0.084905,            0.064798,             0.17738,            0.041188,           0.0086734,           0.0086734,           0.0086734
                 136,             0.03866,            0.089171,           0.0043461,             0.38725,             0.30883,             0.25858,            0.084603,            0.065911,             0.17846,            0.040858,           0.0086635,           0.0086635,           0.0086635
                 137,            0.040419,            0.087864,           0.0042361,             0.34061,             0.36308,              0.2554,             0.08504,             0.06307,             0.17717,            0.038282,           0.0086536,           0.0086536,           0.0086536
                 138,            0.040193,            0.087047,            0.004369,             0.36578,             0.34887,             0.26281,            0.086128,            0.067409,             0.16619,            0.036897,           0.0086437,           0.0086437,           0.0086437
                 139,            0.038701,            0.091428,           0.0044568,             0.35789,             0.37075,             0.26564,            0.091952,            0.063345,             0.17034,            0.037396,           0.0086338,           0.0086338,           0.0086338
                 140,            0.037169,            0.083942,            0.004394,             0.36087,             0.34614,             0.25666,            0.087002,            0.066602,             0.16795,            0.038633,           0.0086239,           0.0086239,           0.0086239
                 141,            0.038244,            0.085405,           0.0040982,             0.35809,             0.32594,             0.25066,            0.082906,            0.063598,             0.17248,            0.040431,            0.008614,            0.008614,            0.008614
                 142,            0.039057,            0.086904,           0.0042989,             0.41206,             0.31858,             0.26181,            0.087859,             0.06725,              0.1744,            0.036449,           0.0086041,           0.0086041,           0.0086041
                 143,            0.038413,            0.083347,           0.0042649,              0.3713,             0.34907,             0.25507,            0.083526,            0.063532,             0.17404,            0.037435,           0.0085942,           0.0085942,           0.0085942
                 144,            0.038132,            0.081851,           0.0039771,             0.41686,             0.33094,             0.27088,            0.098805,            0.065707,             0.16908,            0.035615,           0.0085843,           0.0085843,           0.0085843
                 145,            0.035297,            0.087961,            0.003972,             0.36982,             0.33784,             0.26223,            0.089426,            0.064696,              0.1743,            0.039601,           0.0085744,           0.0085744,           0.0085744
                 146,            0.034516,            0.083207,           0.0036136,             0.33587,             0.35768,             0.25625,             0.08552,            0.065242,             0.17651,            0.039376,           0.0085645,           0.0085645,           0.0085645
                 147,            0.035049,            0.080559,           0.0037241,             0.36761,             0.35805,             0.27238,              0.0884,            0.065339,              0.1745,            0.040724,           0.0085546,           0.0085546,           0.0085546
                 148,            0.038785,            0.087528,           0.0034872,             0.33033,             0.35488,             0.26687,            0.089714,            0.067503,             0.16876,            0.040472,           0.0085447,           0.0085447,           0.0085447
                 149,            0.040163,            0.087033,            0.003727,             0.42409,              0.3438,             0.27262,             0.09031,             0.06362,             0.17336,            0.039523,           0.0085348,           0.0085348,           0.0085348
                 150,            0.037742,            0.088183,           0.0038178,             0.39864,             0.30536,             0.27548,            0.095057,            0.067124,             0.18077,            0.043328,           0.0085249,           0.0085249,           0.0085249
                 151,            0.037149,            0.089449,           0.0037728,             0.35997,             0.35417,             0.27214,            0.093573,            0.063779,             0.18619,            0.039745,            0.008515,            0.008515,            0.008515
                 152,            0.034222,            0.084835,           0.0039232,             0.37003,              0.3782,             0.28173,            0.098955,            0.063336,             0.17433,            0.038057,           0.0085051,           0.0085051,           0.0085051
                 153,            0.034663,            0.086691,           0.0045554,             0.35149,             0.38257,             0.28531,            0.091571,            0.066151,             0.18131,            0.035567,           0.0084952,           0.0084952,           0.0084952
                 154,            0.038209,            0.082509,           0.0039027,             0.37091,             0.34587,             0.26086,            0.089254,            0.063911,             0.17865,            0.035208,           0.0084853,           0.0084853,           0.0084853
                 155,            0.037309,            0.085982,           0.0038061,             0.41666,             0.32441,             0.28174,            0.094243,            0.065743,             0.17033,            0.036522,           0.0084754,           0.0084754,           0.0084754
                 156,            0.037102,            0.080238,           0.0034827,             0.39034,             0.36616,             0.27899,            0.094631,            0.063371,             0.17574,            0.036673,           0.0084655,           0.0084655,           0.0084655
                 157,            0.033719,            0.081903,           0.0037204,             0.39601,             0.31462,             0.26429,            0.092929,            0.066979,             0.17256,            0.039726,           0.0084556,           0.0084556,           0.0084556
                 158,            0.036812,            0.086192,           0.0035567,             0.36586,             0.34478,             0.25916,            0.086302,            0.065181,             0.18246,            0.038814,           0.0084457,           0.0084457,           0.0084457
                 159,            0.037562,            0.084935,           0.0035935,             0.37515,             0.34021,             0.26453,            0.086469,             0.06853,             0.17288,            0.038933,           0.0084358,           0.0084358,           0.0084358
                 160,            0.038363,            0.083491,           0.0038927,             0.34616,             0.34952,             0.25235,            0.090028,            0.064571,               0.188,            0.037938,           0.0084259,           0.0084259,           0.0084259
                 161,            0.036804,            0.087998,            0.003483,             0.40146,             0.33911,              0.2747,            0.089566,            0.066259,             0.17825,            0.038955,            0.008416,            0.008416,            0.008416
